number,PF,dedupPF,divisor
250,"[2, 5, 5, 5]","[2, 5]","[2, 5, 10, 25, 50, 125]"
251,[251],[251],[]
252,"[2, 2, 3, 3, 7]","[2, 3, 7]","[2, 3, 4, 6, 7, 9, 12, 14, 18, 21, 28, 36, 42, 63, 84, 126]"
253,"[11, 23]","[11, 23]","[11, 23]"
254,"[2, 127]","[2, 127]","[2, 127]"
255,"[3, 5, 17]","[3, 5, 17]","[3, 5, 15, 17, 51, 85]"
256,"[2, 2, 2, 2, 2, 2, 2, 2]",[2],"[2, 4, 8, 16, 32, 64, 128]"
257,[257],[257],[]
258,"[2, 3, 43]","[2, 3, 43]","[2, 3, 6, 43, 86, 129]"
259,"[7, 37]","[7, 37]","[7, 37]"
260,"[2, 2, 5, 13]","[2, 5, 13]","[2, 4, 5, 10, 13, 20, 26, 52, 65, 130]"
261,"[3, 3, 29]","[3, 29]","[3, 9, 29, 87]"
262,"[2, 131]","[2, 131]","[2, 131]"
263,[263],[263],[]
264,"[2, 2, 2, 3, 11]","[2, 3, 11]","[2, 3, 4, 6, 8, 11, 12, 22, 24, 33, 44, 66, 88, 132]"
265,"[5, 53]","[5, 53]","[5, 53]"
266,"[2, 7, 19]","[2, 7, 19]","[2, 7, 14, 19, 38, 133]"
267,"[3, 89]","[3, 89]","[3, 89]"
268,"[2, 2, 67]","[2, 67]","[2, 4, 67, 134]"
269,[269],[269],[]
270,"[2, 3, 3, 3, 5]","[2, 3, 5]","[2, 3, 5, 6, 9, 10, 15, 18, 27, 30, 45, 54, 90, 135]"
271,[271],[271],[]
272,"[2, 2, 2, 2, 17]","[2, 17]","[2, 4, 8, 16, 17, 34, 68, 136]"
273,"[3, 7, 13]","[3, 7, 13]","[3, 7, 13, 21, 39, 91]"
274,"[2, 137]","[2, 137]","[2, 137]"
275,"[5, 5, 11]","[5, 11]","[5, 11, 25, 55]"
276,"[2, 2, 3, 23]","[2, 3, 23]","[2, 3, 4, 6, 12, 23, 46, 69, 92, 138]"
277,[277],[277],[]
278,"[2, 139]","[2, 139]","[2, 139]"
279,"[3, 3, 31]","[3, 31]","[3, 9, 31, 93]"
280,"[2, 2, 2, 5, 7]","[2, 5, 7]","[2, 4, 5, 7, 8, 10, 14, 20, 28, 35, 40, 56, 70, 140]"
281,[281],[281],[]
282,"[2, 3, 47]","[2, 3, 47]","[2, 3, 6, 47, 94, 141]"
283,[283],[283],[]
284,"[2, 2, 71]","[2, 71]","[2, 4, 71, 142]"
285,"[3, 5, 19]","[3, 5, 19]","[3, 5, 15, 19, 57, 95]"
286,"[2, 11, 13]","[2, 11, 13]","[2, 11, 13, 22, 26, 143]"
287,"[7, 41]","[7, 41]","[7, 41]"
288,"[2, 2, 2, 2, 2, 3, 3]","[2, 3]","[2, 3, 4, 6, 8, 9, 12, 16, 18, 24, 32, 36, 48, 72, 96, 144]"
289,"[17, 17]",[17],[17]
290,"[2, 5, 29]","[2, 5, 29]","[2, 5, 10, 29, 58, 145]"
